                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 2.8062,                 3.5132,                 2.5219,                 2.4918,                 3.8905,                 2.1378,                0.31056,                0.02771,                0.01426,                0.00407,                 2.9416,                 3.7054,                 2.7525,                 2.6086,                 4.2284,                 2.3877,               0.003169,               0.003169,               0.003169
                     72,                 2.8404,                 3.4747,                 2.5704,                 2.5904,                 3.9091,                  2.162,                0.34292,                0.02761,                0.01502,                0.00399,                  2.975,                  3.721,                 2.7479,                 2.5982,                 4.2555,                 2.3507,                0.00307,                0.00307,                0.00307
                     73,                 2.7954,                 3.3989,                 2.5378,                 2.5113,                 3.8733,                 2.1336,                0.32431,                0.01763,                0.01165,                0.00307,                 2.9897,                  3.746,                 2.7739,                 2.6142,                 4.2671,                 2.3615,               0.002971,               0.002971,               0.002971
                     74,                  2.815,                 3.4934,                 2.5583,                 2.5213,                 3.8625,                 2.1204,                0.32597,                0.02413,                0.01534,                0.00404,                 2.9726,                 3.6837,                 2.7928,                 2.6082,                 4.1646,                 2.3768,               0.002872,               0.002872,               0.002872
                     75,                 2.6709,                 3.4724,                 2.4785,                  2.416,                 3.8689,                  2.079,                0.34407,                0.02843,                0.01411,                0.00438,                   2.97,                 3.6913,                 2.7862,                 2.6193,                 4.1857,                 2.3711,               0.002773,               0.002773,               0.002773
                     76,                 2.8289,                 3.4778,                 2.5676,                 2.5555,                 3.9226,                 2.1539,                 0.3007,                0.02718,                 0.0141,                0.00396,                 2.9532,                 3.6909,                 2.7586,                 2.6085,                 4.1768,                  2.359,               0.002674,               0.002674,               0.002674
                     77,                 2.7331,                 3.3936,                 2.4708,                 2.4757,                 3.8485,                 2.0865,                0.28992,                0.03194,                0.01419,                0.00451,                  2.923,                 3.7515,                 2.7773,                 2.5727,                 4.2654,                 2.3826,               0.002575,               0.002575,               0.002575
                     78,                  2.701,                 3.4117,                 2.4801,                 2.4813,                 3.8609,                 2.1347,                0.29934,                0.02462,                0.01269,                0.00372,                 2.9248,                 3.7309,                 2.7772,                 2.5676,                 4.2404,                 2.3825,               0.002476,               0.002476,               0.002476
                     79,                 2.7788,                 3.4315,                 2.5251,                  2.488,                 3.8857,                 2.1479,                0.29925,                0.01471,                0.01505,                0.00432,                 2.9164,                 3.6864,                  2.766,                 2.5769,                 4.1838,                 2.3676,               0.002377,               0.002377,               0.002377
                     80,                 2.7419,                   3.38,                 2.5339,                 2.4446,                 3.7826,                 2.1348,                0.29826,                0.02417,                0.01849,                0.00569,                 2.9458,                  3.698,                 2.7647,                 2.5913,                  4.215,                 2.3561,               0.002278,               0.002278,               0.002278
